Country Name,Population total,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Improved sanitation facilities (% of population with access),Improved water source (% of population with access),"Improved water source, rural (% of rural population with access)","Improved water source, urban (% of urban population with access)"
Tunisia,11253554,43015089722.6754,3822.35600617151,99.8,99.6124572753906,99.8938628217943,91.6,97.7,93.2,100
Turkey,78665830,717879788566.76,9125.68758972936,100,100,100,94.9,100,100,100
Tuvalu,9916,32673277.7402149,3295.00582293413,98.5302200317383,97.2320022583008,99.4406468726804,,97.7,97,98.3
Tanzania,53470420,45628247290.4618,878.97510552608,15.5014495849609,4.0289363861084,41.1556095727077,15.6,55.6,45.5,77.2
Uganda,39032383,27529249701.1469,705.292569535068,20.4,10.3,74.3619076013667,19.1,79,75.8,95.5
Ukraine,45154029,90615023323.7353,2114.95471628444,100,100,100,95.9,96.2,97.8,95.5
Uruguay,3431555,53442697568.7227,15573.9009191818,99.657085,97.450928,99.769488732306,96.4,99.7,93.9,100
United States,321418820,18036648000000,56115.7184261955,100,100,100,100,99.2,98.2,99.4
Uzbekistan,31298900,66732736498.1951,2132.11124027346,100,100,100,100,,,98.5
St. Vincent and the Grenadines,109462,737683555.555555,6739.17483286945,99.02001953125,94.7956085205078,100,,95.1,95.1,95.1
"Venezuela, RB",31108083,,,99.107795715332,92.0384521484375,99.9868038444776,94.4,93.1,77.9,95
British Virgin Islands,30117,,,,,,97.5,,,
Virgin Islands (U.S.),103574,3765000000,36350.8216347732,100,100,100,96.4,100,100,100
Vietnam,91713300,193599379094859,2110.91934424843,99.2,98.9,99.8104427737683,78,97.6,96.9,99.1
Vanuatu,264652,742432131.041002,2805.31464353567,34.4694557189941,11.5445203781128,100,57.9,94.5,92.9,98.9
World,7346705902.68203,74292303725335.3,10112.3285332837,85.3365219667194,73.0318758067745,96.2607191306444,67.5274191498462,90.9727490450505,84.6113608609438,96.4618119192536
Samoa,193228,761037916.35753,3938.54884570316,97.9,97.6,99.1576470269832,91.5,99,99.3,97.5
Kosovo,1801800,6400687590.10758,3552.38516489487,100,100,,,,,
"Yemen, Rep.",26832215,37733919936.2465,1406.2916511457,72.041015625,58.9869041442871,97.3508860246632,,,,
South Africa,55011976.6820294,314571945857401,5718.24473197237,86,71.4823760986328,94.0610307812154,66.4,93.2,81.4,99.6
Zambia,16211767,21154394545895,1304.87901447726,27.9,3.8,63.3473408005542,43.9,65.4,51.3,85.6
Zimbabwe,15602751,14419185900,924.143819253412,32.3,9.8,79.0286437789288,36.8,76.9,67.3,97
