Country Name,Population total,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Improved sanitation facilities (% of population with access),Improved water source (% of population with access),"Improved water source, rural (% of rural population with access)","Improved water source, urban (% of urban population with access)",maximum percentage
Turkey,78665830,7.18E+11,9125.68759,100,100,100,94.9,100,100,100,100
Tuvalu,9916,32673277.74,3295.005823,98.53022003,97.23200226,99.44064687,0,97.7,97,98.3,100
Tanzania,53470420,45628247290,878.9751055,15.50144958,4.028936386,41.15560957,15.6,55.6,45.5,77.2,100
Uganda,39032383,27529249701,705.2925695,20.4,10.3,74.3619076,19.1,79,75.8,95.5,100
Ukraine,45154029,90615023324,2114.954716,100,100,100,95.9,96.2,97.8,95.5,100
Uruguay,3431555,53442697569,15573.90092,99.657085,97.450928,99.76948873,96.4,99.7,93.9,100,100
United States,321418820,1.80E+13,56115.71843,100,100,100,100,99.2,98.2,99.4,100
Uzbekistan,31298900,66732736498,2132.11124,100,100,100,100,0,0,98.5,100
St. Vincent and the Grenadines,109462,737683555.6,6739.174833,99.02001953,94.79560852,100,0,95.1,95.1,95.1,100
"Venezuela, RB",31108083,0,0,99.10779572,92.03845215,99.98680384,94.4,93.1,77.9,95,100
British Virgin Islands,30117,0,0,0,0,0,97.5,0,0,0,100
Virgin Islands (U.S.),103574,3765000000,36350.82163,100,100,100,96.4,100,100,100,100
Vietnam,91713300,1.94E+14,2110.919344,99.2,98.9,99.81044277,78,97.6,96.9,99.1,100
Vanuatu,264652,742432131,2805.314644,34.46945572,11.54452038,100,57.9,94.5,92.9,98.9,100
World,7346705903,7.43E+13,10112.32853,85.33652197,73.03187581,96.26071913,67.52741915,90.97274905,84.61136086,96.46181192,100
Samoa,193228,761037916.4,3938.548846,97.9,97.6,99.15764703,91.5,99,99.3,97.5,100
Kosovo,1801800,6400687590,3552.385165,100,100,,0,0,0,0,100
"Yemen, Rep.",26832215,37733919936,1406.291651,72.04101563,58.98690414,97.35088602,0,0,0,0,100
South Africa,55011976.68,3.15E+14,5718.244732,86,71.4823761,94.06103078,66.4,93.2,81.4,99.6,100
Zambia,16211767,2.12E+13,1304.879014,27.9,3.8,63.3473408,43.9,65.4,51.3,85.6,100
Zimbabwe,15602751,14419185900,924.1438193,32.3,9.8,79.02864378,36.8,76.9,67.3,97,100
